id,response
54,"Ja, das stimmt. Tests und Skalen, die speziell für die Studie entwickelt wurden, gehören in den Methodenteil einer wissenschaftlichen Arbeit. In diesem Teil werden alle verwendeten Materialien detailliert beschrieben, einschließlich selbst entwickelter Tests oder Skalen. Es ist wichtig, dass Leserinnen und Leser die Möglichkeit haben, die Studie zu replizieren, und dazu gehört auch die genaue Beschreibung aller verwendeten Instrumente und Materialien."
55,"Die Formatierung eines Manuskripts gemäss den APA-Richtlinien beinhaltet folgende Punkte:

- Kopfzeile: Jede Seite enthält eine Kopfzeile mit der Seitenzahl am oberen rechten Rand. Die Titelseite ist Seite Nummer 1. Bei Einreichung zur Publikation bei einer Zeitschrift wird ein linksbündiger Kurztitel in der Kopfzeile hinzugefügt.
- Schriftart: Im gesamten Manuskript wird durchgehend dieselbe Schriftart verwendet. Erlaubt sind nicht-serife und serife Schriften. Empfohlene nicht-serife Schriftarten sind Calibri (11-punkt), Arial (11-punkt) und Lucida Sans-Unicode (10-punkt). Empfohlene serife Schriftarten sind Times New Roman (11-punkt), Georgia (11-punkt) und Computer Modern (10-punkt).
- Zeilenabstand: Das gesamte Dokument wird in doppeltem Zeilenabstand formatiert.
- Seitenränder: Alle Seiten haben einen Rand von 2,54 cm auf allen Seiten (oben, unten, links und rechts).
- Absatzausrichtung: Die erste Zeile jedes Absatzes erhält einen Einzug von 1,27 cm (ausser bei der Kurzfassung des Manuskripts, dem Titel und den Untertiteln). Alle Absätze werden linksbündig ausgerichtet (kein Blocksatz).
- Trennung von Wörtern und URLs: Lange Wörter am Zeilenende werden nicht getrennt. Lange DOIs oder URLs werden nicht manuell getrennt, sondern automatisch durch das Textverarbeitungsprogramm.
- Abkürzungen: Abkürzungen werden beim ersten Gebrauch ab der Einleitung eingeführt, ausser allgemein bekannte Abkürzungen. Einmal eingeführte Abkürzungen können dann verwendet werden. Allgemeingültige Abkürzungen müssen nicht eingeführt werden, sondern können direkt verwendet werden."
56,"Eine Null wird vor dem Dezimaltrennzeichen geschrieben, wenn die Zahl kleiner als 1 ist. Beispielsweise wird 0,5 mit einer Null vor dem Dezimaltrennzeichen geschrieben."
57,Ich bin mir nicht sicher. Kannst du deine Frage umformulieren?
58,"Zahlen werden gemäss den Richtlinien im Lehrbuch ""Wissenschaftliches Arbeiten und Kommunizieren"" gerundet. Die statistischen Kennwerte wie der *t*-Wert oder der *F*-Wert werden auf zwei Nachkommastellen gerundet. Die *p*-Werte werden auf drei Nachkommastellen gerundet und genau berichtet. Wenn die Nachkommastellen nicht ausreichen, um eine präzise Angabe zu machen, wird ""kleiner als"" verwendet. Beispielsweise wird ein *p*-Wert von 0.048 als *p* = .048 gerundet."
59,"Das Literaturverzeichnis wird auf einer neuen Seite nach der Diskussion oder den Autorenbeiträgen, falls vorhanden, platziert. Der Titel ""Literaturverzeichnis"" wird fett und zentriert geschrieben. Jede Literaturangabe steht auf einer eigenen Zeile mit hängenden Einzügen, wobei die erste Zeile linksbündig und die folgenden Zeilen um 1.27 cm eingerückt sind. Die Referenzen werden alphabetisch nach den Nachnamen der Erstautoren geordnet. Bei mehreren Publikationen derselben Autoren in der gleichen Reihenfolge wird zuerst die älteste, dann die neueste Publikation aufgeführt. Bei mehreren Publikationen derselben Autoren im selben Jahr werden die Publikationen nach Erscheinungsdatum gelistet, wobei das Datum durch Buchstaben ersetzt wird (z.B. 2020a, 2020b, 2020c, usw.)."
60,"Die Referenzen im Literaturverzeichnis sind wie folgt geordnet:

1. Die Referenzen werden alphabetisch nach den Nachnamen der Erstautoren geordnet.
2. Ist der Erstautor in zwei Publikationen identisch, zählt der Zweitautor usw.
3. Bei mehreren Publikationen derselben Autoren in der gleichen Reihenfolge, wird zuerst die älteste dann die neueste Publikation aufgeführt.
4. Bei mehreren Publikationen derselben Autoren im selben Jahr, werden die Publikationen nach Erscheinungsdatum gelistet. Das Datum wird durch Buchstaben ersetzt (z.B. 2020a, 2020b, 2020c, usw.).
5. Haben zwei Erstautoren denselben Nachnamen, wird alphabetisch nach Vorname geordnet."
61,"Fussnoten werden im Text mit hochgestellten Zahlen markiert und fortlaufend nummeriert. Der relevante Text, auf den sich die Fussnote bezieht, wird nachfolgend mit einem Sternchen oder einer anderen Kennzeichnung versehen. Die Fussnoten selbst werden auf einer neuen Seite nach dem Literaturverzeichnis unter dem zentrierten und fett geschriebenen Titel ""Fussnoten"" präsentiert. Die Fussnoten enthalten ebenfalls hochgestellte Zahlen, die auf den relevanten Text im Haupttext verweisen. Es ist wichtig, dass Fussnoten relevante Informationen enthalten und keine irrelevanten Details enthalten."
62,"Tabellen werden gemäss den APA-Richtlinien wie folgt formatiert:

1. Verwendung von nur waagrechten Linien in Tabellen, Beginn und Ende jeder Tabelle mit einer waagrechten Linie, sowie waagrechte Linien zwischen den einzelnen Teilen einer Tabelle.
   
2. Text in Tabellen kann in einfachem, anderthalbfachem oder doppeltem Zeilenabstand formatiert werden, je nachdem, welches Format die effektivste Darstellung der Daten ermöglicht.
   
3. Tabellen können entweder direkt im Text eingebettet oder nach den Fussnoten präsentiert werden. Bei eingebetteten Tabellen wird vor und nach jeder Tabelle eine Leerzeile eingefügt, während bei Tabellen nach den Fussnoten jede Tabelle auf einer separaten Seite stehen sollte.
   
4. Jede Tabelle wird mit der Bezeichnung ""Tabelle"" und einer fortlaufenden Tabellennummer versehen. Die Beschriftung erfolgt in fetter Schrift linksbündig über der Tabelle. Darunter folgt der Tabellentitel in kursiver, aber nicht fetter Schrift, wobei die wichtigsten Wörter des Titels grossgeschrieben werden. Der Titel sollte kurz und prägnant den Inhalt der Tabelle kennzeichnen. Anmerkungen werden linksbündig unter der Tabelle platziert, mit der Einleitung ""Anmerkung"" in kursiver Schrift, gefolgt von der eigentlichen Anmerkung in nicht kursiver Schrift. Anmerkungen dienen dazu, nähere Erklärungen zum Tabelleninhalt zu liefern, um sicherzustellen, dass die Tabelle alleinstehend verständlich ist."
63,"Abbildungen werden gemäss den APA-Richtlinien wie folgt formatiert: 

1. **Schriftart und Schriftgrösse:** Innerhalb von Abbildungen werden nicht serife Schriftarten mit einer Grösse zwischen 8 und 14 Punkten verwendet.
   
2. **Zeilenabstand:** Der Text in Abbildungen kann in einfachem, anderthalbfachem und doppeltem Zeilenabstand formatiert werden, je nachdem welches Format die effektivste Darstellung der Daten erlaubt.

3. **Achsenabschnitte:** Die Achsenabschnitte werden so gewählt, dass die Datenlage möglichst unverfälscht und transparent dargestellt wird, und nicht so, dass Unterschiede zwischen verschiedenen Bedingungen möglichst gross oder klein dargestellt werden.

4. **Platzierung:** Abbildungen können entweder direkt im Text an der relevanten Stelle eingebettet oder am Ende des Manuskripts nach den Tabellen präsentiert werden.

5. **Beschriftung:** Jede Abbildung wird mit der Bezeichnung «Abbildung» und anschliessender fortlaufender Abbildungsnummer beschriftet. Die Beschriftung wird in fetter Schrift linksbündig über der Abbildung geschrieben. Darunter folgt der Abbildungstitel in kursiver, aber nicht fetter Schrift. Die wichtigsten Wörter des Abbildungstitels werden grossgeschrieben.

6. **Anmerkungen:** Allfällige Anmerkungen folgen linksbündig unter der Abbildung. Anmerkungen werden mit dem Wort «Anmerkung» in kursiver Schrift eingeleitet. Die Anmerkung selbst wird nicht kursiv geschrieben. Anmerkungen dienen dazu, nähere Erklärungen zum Inhalt der Abbildungen zu liefern, da Abbildungen alleinstehend verständlich sein müssen."
64,"Anhänge werden auf einer neuen Seite nach den Abbildungen eingeführt. Jeder Anhang beginnt auf einer neuen Seite mit dem Titel „Anhang“, der fett und zentriert geschrieben ist. Bei mehreren Anhängen wird der Titel „Anhang“ mit fortlaufenden Großbuchstaben versehen (z.B. Anhang A, Anhang B, Anhang C, usw.). Jeder Anhang muss mindestens einmal im Text genannt sein. Wenn ein Anhang Tabellen oder Abbildungen enthält, werden diese fortlaufend, entsprechend dem Buchstaben des Anhangs nummeriert (z.B. Abbildung C1). Anhänge beinhalten Informationen, die den Inhalt des Manuskripts ergänzen und im Manuskript selbst störend wären."
65,"Titel werden gemäss den APA-Richtlinien in fünf verschiedenen Stufen formatiert. Die erste Stufe ist zentriert, fett gedruckt und in Großbuchstaben verfasst. Die zweite Stufe ist linksbündig, fett gedruckt und in Großbuchstaben verfasst. Die dritte Stufe ist linksbündig, fett gedruckt, kursiv und in Großbuchstaben verfasst. Die vierte Stufe ist linksbündig, kursiv und in Großbuchstaben verfasst. Die fünfte Stufe ist linksbündig, kursiv, fett gedruckt und in Großbuchstaben verfasst."
66,"Die narrative Referenzierung ist eine Methode, um Quellen im Text zu zitieren, indem die Autoren und Autorinnen als Teil des Satzes genannt werden und das Jahr in Klammern angegeben wird. Die Autoren und Autorinnen werden dabei mit einem ""und"" miteinander verbunden. Im Gegensatz zur Referenzierung in Klammern werden die Quellen nicht in Klammern aufgeführt, sondern in den Textfluss integriert. Es ist wichtig, die Ideen und nicht die Sätze zu referenzieren. Bei wiederholter Verwendung derselben Quelle in aufeinanderfolgenden Sätzen ist es nicht notwendig, die Quelle erneut anzugeben, solange klar ist, auf welche Quelle sich bezogen wird."
67,"Wenn zwei Autoren denselben Nachnamen haben, werden beim Referenzieren die Initialen der Autoren hinzugefügt, um Verwechslungen im Literaturverzeichnis zu vermeiden. Dies gilt unabhängig davon, ob das Publikationsjahr unterschiedlich ist."
68,"Ein Blockzitat ist ein Zitat mit mehr als 40 Wörtern, das nicht in Anführungszeichen gesetzt wird, sondern in einem neuen Absatz präsentiert wird. Dabei wird der gesamte Absatz um 2,54 cm eingerückt. Falls ein Blockzitat aus mehreren Absätzen besteht, wird die erste Zeile jedes neuen Abschnitts zusätzlich eingerückt. Blockzitate dienen dazu, längere Textpassagen hervorzuheben und von normalem Fließtext abzugrenzen."
69,"Bei Zahlen muss beachtet werden, dass Zahlen von 10 und grösser als Ziffern geschrieben werden. Zahlen kleiner als 10 werden als Wörter geschrieben, wenn sie nicht von einer Masseinheit gefolgt werden und nicht Teil eines statistischen Ausdrucks, einer Gleichung, einer mathematischen Funktion, einer Zeitangabe oder eines festen Ausdrucks sind. Zahlen kleiner als 10 werden als Ziffern geschrieben, wenn sie von einer Masseinheit gefolgt werden, Teil eines statistischen Ausdrucks, einer Gleichung, einer mathematischen Funktion, einer Zeitangabe oder eines festen Ausdrucks sind."
70,"Beim Verfassen eines Textes ist es wichtig, das Zielpublikum im Auge zu behalten. Stelle dir vor Beginn des Schreibens die Frage, wer deine Leserinnen und Leser sind und welches Wissen sie voraussichtlich haben. Schreibe den Text so, dass er von einem Publikum mit einem Spezialisierungsgrad unterhalb deinem verstanden werden kann. Nach dem Verfassen einer ersten Version des Manuskripts solltest du nach jedem Absatz überprüfen, ob dieser für die Forschungsfrage relevant ist. Nur relevante Absätze sollten beibehalten werden, um ein prägnantes Manuskript zu erstellen. Dieses Vorgehen sollte auch auf der Satzebene angewendet werden, um den Fokus auf das Wesentliche zu legen."
71,"""**Bias-free language**"" bezieht sich auf einen Sprachgebrauch, der frei von Verzerrungen oder Voreingenommenheiten ist. Es bedeutet, dass Wörter und Ausdrücke in einer Weise verwendet werden, die neutral und objektiv ist, ohne bestimmte Gruppen oder Personen zu bevorzugen oder zu diskriminieren. Ein Beispiel dafür ist die Unterscheidung zwischen Begriffen wie ""sagen"" und ""behaupten"", um eine präzise und klare Kommunikation zu gewährleisten. In wissenschaftlichen Texten ist es wichtig, eine ""bias-free language"" zu verwenden, um die Objektivität und Glaubwürdigkeit der Forschungsergebnisse zu wahren."
72,"Das Ziel bei der internen Revision ist es, das Manuskript auf interne Konsistenz zu überprüfen. Dabei sollen strukturelle Richtlinien überprüft werden und Textstellen, bei denen die interne Konsistenz verletzt wird, markiert und überarbeitet werden. Durch die Beteiligung aller Mitautorinnen und Mitautoren in weiteren Revisionsrunden sollen Kommentare und Verbesserungsvorschläge erarbeitet werden, um das Manuskript in eine logische und kohärente Form zu bringen. Dieser Prozess wiederholt sich, bis alle Autorinnen und Autoren keine Verletzungen der strukturellen und inhaltlichen Richtlinien mehr sehen und mit allen Manuskriptteilen einverstanden sind."
73,"Eine **substanzielle Überarbeitung** (major revision) bedeutet, dass grosse Teile des Manuskripts überarbeitet und neu geschrieben werden müssen oder die gesamten Daten neu ausgewertet werden müssen. Es kann dazu führen, dass die gesamte Einleitung strukturell überarbeitet werden muss oder sich das Manuskript sogar grundlegend verändert."
74,"Die formalen Vorgaben bei einem Vortrag beinhalten die Bestimmung der Elemente, die im Vortrag enthalten sein sollen, sowie deren logische Anordnung. Es ist wichtig, die folgenden Fragen zu berücksichtigen: Welche Elemente sollen im Vortrag enthalten sein? Welches sind die wichtigsten Aussagen? Wie sollen die Elemente dargestellt werden (als Text, Tabelle oder Abbildung)? Wie sollen die einzelnen Elemente auf den Folien angeordnet werden? Enthält jede Folie eine zentrale Aussage? In welcher Reihenfolge ergeben die Aussagen den logischsten Aufbau? Zudem sollten bei der Vorbereitung eines Vortrags die Bestandteile der Manuskriptgestaltung berücksichtigt werden, wie die Titelfolie, die Einführung, die Methode, die Resultate, die Diskussion und gegebenenfalls das Literaturverzeichnis. Es ist wichtig, dass der Vortrag klar strukturiert, verständlich und ansprechend gestaltet ist."
75,"Nein, es ist nicht üblich, die Inferenzstatistik auf einem Poster zu berichten. Es wird empfohlen, die Inferenzstatistik und deren Bedeutung mündlich zu präsentieren, während die deskriptiven Resultate anhand einer Abbildung dargestellt werden. Dies ermöglicht eine klarere und prägnantere Darstellung der Ergebnisse auf dem Poster."
76,"Das Poster sollte im Hochformat und im A0-Format (84 cm x 120 cm) gestaltet werden. Es ist wichtig, nicht zu viele Farben zu verwenden und grosse Farbflächen zu vermeiden, da dies beim Druck viel Tinte / Toner verbraucht und die Druckqualität beeinträchtigen kann. Verwende starke Kontraste, damit das Poster auch aus grösseren Distanzen gut lesbar ist. Verwende grosse Schriften (mindestens 30 Punkte), damit das Poster aus einer Distanz von 2 Metern gut lesbar ist. Stelle sicher, dass allfällige Referenzen im Text APA-konform berichtet werden."
77,"Bei der Postergestaltung für wissenschaftliche Zwecke solltest du folgende Punkte beachten:

1. **Schlichte und nüchterne Gestaltung:** Eine schlichte und nüchterne Gestaltung wirkt wissenschaftlicher, sollte aber dennoch ein ""Hingucker"" sein, um Aufmerksamkeit zu erregen.

2. **Wenig Text:** Das Poster sollte mit möglichst wenig Text auskommen, aber dennoch den Inhalt verständlich vermitteln, ohne zusätzliche Erklärungen.

3. **Elemente bestimmen und logisch anordnen:** Bestimme die Elemente, die auf dem Poster enthalten sein sollen, und ordne sie logisch an. Stelle sicher, dass die zentralen Aussagen klar hervorgehoben sind.

4. **Formatierung:** Das Poster wird im Hochformat im A0-Format (84 cm x 120 cm) gestaltet.

5. **Farbgestaltung:** Verwende nicht zu viele Farben und vermeide grosse Farbflächen, um den Tinten- bzw. Tonerverbrauch zu reduzieren und die Druckqualität nicht zu beeinträchtigen. Setze auf starke Kontraste, damit das Poster aus grösseren Distanzen gut lesbar ist.

6. **Schriftgrösse:** Verwende grosse Schriften (mindestens 30 Punkte), damit das Poster auch aus einer Distanz von 2 Metern gut lesbar ist.

7. **Referenzen:** Falls nötig, berichte allfällige Referenzen im Text im APA-Format.

Bei der Realisierung des Posters kannst du Tools wie Powerpoint oder das Tikzposter Package in LaTeX / Overleaf verwenden."
78,"Hier sind einige Posterbeispiele aus dem Lehrbuch ""Wissenschaftliches Arbeiten und Kommunizieren"":

1. **Beispiel 1**: ""Zusammenspiel von Tageszeit und Chronotyp und dessen Auswirkungen auf kognitive Leistungen"" - [Poster](https://wissarbkom.bitbucket.io/resources/poster_example1_SPS2022Rey-Mermet.pdf) - [Artikel](https://online.ucpress.edu/collabra/article-pdf/9/1/88337/792839/collabra_2023_9_1_88337.pdf)

2. **Beispiel 2**: ""Visuelle Verarbeitung"" - [Poster](https://wissarbkom.bitbucket.io/resources/poster_example2_SPS2022Rothen.pdf)

3. **Beispiel 3**: ""Sequentielle Konfliktlösung"" - [Poster](https://wissarbkom.bitbucket.io/resources/poster_example3_SPR2018Rey-Mermet.pdf) - [Artikel](https://www.sciencedirect.com/science/article/abs/pii/S105381191832175X?via%3Dihub) - [Nachabdruck](https://osf.io/7jekh)

4. **Beispiel 4**: ""Einfluss von Wiederholung auf synästhetische Konsistenz"" - [Poster](https://wissarbkom.bitbucket.io/resources/poster_example4_OvalleFresa.pdf) - [Artikel](https://www.sciencedirect.com/science/article/abs/pii/S1053810018305610?via%3Dihub) - [Nachabdruck](https://osf.io/preprints/psyarxiv/njzhf)"
